file_read_count,file_write_count,file_delete_count,file_rename_count,file_encrypt_like_count,changed_files_count,random_extension_flag,entropy_diff_mean,file_size_diff_mean,label
3,7,1,0,0,11,0,0.12956325987470077,307.65854937583435,benign
1,6,2,0,1,9,0,0.27485549159561995,313.4726405130028,ransomware
0,3,0,0,0,3,0,-0.3163879677875171,344.32593707541145,benign
2,7,0,0,0,9,0,0.1869195950019258,442.1133889024453,benign
4,3,0,0,0,7,0,-0.06476997418266854,258.850288437275,benign
5,2,0,0,0,7,0,0.14155155655844345,-125.24386793962063,benign
3,3,0,0,1,6,0,0.27097321075151765,92.16792544427666,benign
6,5,2,3,1,16,1,0.5460275351959252,441.03368648294315,ransomware
5,1,0,1,0,7,0,0.48575665628680403,-56.70147767121925,benign
2,4,0,0,0,6,0,0.15863008584055882,27.996594586128744,benign
2,5,0,0,0,7,0,0.030333752382544692,153.2724912593002,benign
5,11,0,3,0,19,1,0.1497586251649078,72.40589803416643,ransomware
2,5,3,1,1,11,0,0.3227148720027801,356.63227693746006,ransomware
8,4,0,0,0,12,0,-0.1692336233215914,243.39666196390667,benign
3,3,2,0,0,8,0,-0.21902153488522502,-276.17371660782413,benign
2,2,0,1,0,5,0,-0.44071298018895083,-213.05547981484736,benign
2,1,0,0,0,3,0,-0.14263245658498355,-204.73148306853642,benign
3,1,1,2,0,7,0,0.2398805874126392,-128.08928348593565,benign
3,2,0,0,0,5,0,-0.3315498786415,-327.3836172266183,benign
1,4,0,1,0,6,0,-0.29452133910589356,-296.5928660629261,benign
5,0,1,0,0,6,0,-0.11869885662830638,100.76064852017294,benign
2,4,0,1,0,7,0,-0.15236391671837718,0.12360472886449259,benign
4,0,0,0,0,4,0,-0.10089994170996959,58.56079952331415,benign
5,2,0,3,0,10,1,0.5075382662696215,-110.35091648938584,benign
1,1,1,1,0,4,0,-0.3099020423171885,-310.91425145171166,benign
1,8,0,2,0,11,0,0.04376625875206662,489.30928846889014,ransomware
4,2,0,0,0,6,0,-0.11154092802253203,462.0159140216805,benign
5,1,0,0,0,6,0,0.4178218196979256,-5.057665377211251,benign
2,1,0,1,0,4,0,0.1595298246326115,335.0678769133512,benign
3,6,0,0,0,9,0,0.241988975042279,-186.44382913690765,benign
2,2,0,1,0,5,0,-0.5078261444174311,307.18358313098236,benign
1,1,1,1,0,4,0,0.18942128631294622,-49.8958251793709,benign
2,6,0,0,0,8,0,0.11806025724394853,-160.69350023552386,benign
2,7,1,1,1,11,0,-0.3861415966001205,352.3032223133783,ransomware
5,8,2,2,0,17,0,0.25901273951434833,264.66722738273154,ransomware
6,5,0,1,1,12,0,0.06703475660215387,624.4629477780755,ransomware
2,4,1,1,0,8,0,0.06863971285849291,-414.5186709507143,benign
4,3,0,0,0,7,0,-0.19704684945390083,-112.29639319873851,benign
0,8,0,0,0,8,0,0.6951242925664016,622.3417374061514,benign
7,4,1,1,0,13,0,0.22075207491415857,363.48747618514085,benign
4,4,1,0,0,9,0,0.31117529652037096,234.06121338190053,benign
4,3,0,0,0,7,0,-0.08449129465337031,631.032081626853,benign
2,2,0,2,0,6,0,0.1933642913169871,-305.4651730286006,benign
2,10,1,4,1,17,1,0.15980025475362872,-198.51938057052826,ransomware
2,2,2,0,0,6,0,-0.2750776624837886,251.68053698824616,benign
2,2,1,0,0,5,0,0.3528526594846974,-7.902745186673627,benign
3,1,0,4,0,8,1,0.01352225536669068,87.3109759798132,benign
5,3,0,0,0,8,0,-0.5441878568098172,-102.54714212007491,benign
1,4,0,0,0,5,0,-0.3475653597971861,252.2432291852239,benign
4,3,0,0,0,7,0,-0.04191270973344077,-345.9856852363425,benign
5,6,1,2,1,14,0,0.11887318325109242,191.5268443698034,ransomware
7,5,1,2,0,15,0,-0.02322409658214375,-518.1778573082582,ransomware
2,12,0,0,1,14,0,0.31123019771982213,175.98511654642493,ransomware
1,3,0,6,1,10,1,0.4727327627760538,295.75020418119254,ransomware
6,6,0,0,0,12,0,-0.506229784707618,-165.80277124040447,benign
8,2,0,4,0,14,1,-0.003622776021292587,94.68794289592566,ransomware
3,5,0,0,0,8,0,0.2957435515780219,-605.6393305201075,benign
0,2,0,1,0,3,0,-0.19640075414359096,316.4474068752346,benign
3,2,0,0,0,5,0,-0.5679792574650985,-181.19027472376945,benign
2,2,0,2,0,6,0,-0.010586629297876647,66.10984780629099,benign
4,8,0,1,0,13,0,-0.14281494157434999,522.8543954328845,benign
2,2,0,0,0,4,0,0.052119492812393795,-276.59861942677566,benign
4,5,0,1,1,10,0,-0.21578208628942974,661.478635504371,ransomware
0,1,1,0,0,2,0,-0.1475241808247499,126.14402729700565,benign
3,2,0,2,0,7,0,0.30757330525257515,-37.75501536690636,benign
2,2,0,2,0,6,0,0.0015369480398648334,102.97354954585691,benign
3,1,0,1,0,5,0,0.15066572464265632,-80.84670686056421,benign
5,8,1,1,1,15,0,-0.2377987666911841,390.3349688167476,ransomware
1,3,1,1,0,6,0,0.39385896343509896,-248.49640088348718,benign
7,8,1,3,1,19,1,-0.007681641014319174,581.932376507044,ransomware
5,6,1,0,1,12,0,-0.47686778463997437,265.6601853371963,ransomware
2,3,0,1,0,6,0,-0.05568050461678259,94.46997807991116,benign
5,3,0,0,0,8,0,-0.22170174437916448,-39.67219471686303,benign
2,8,0,6,1,16,1,-0.23857349252064958,271.87322599337534,ransomware
2,4,0,0,0,6,0,-0.08172179497984824,-27.922343639514366,benign
3,4,0,0,0,7,0,-0.12353578623898137,-344.1886205735226,benign
1,8,0,0,1,9,0,-0.4471415366084997,-27.811195536655703,ransomware
2,2,1,2,0,7,0,-0.5735204791593207,1.826934140627813,benign
1,3,0,0,0,4,0,0.10141900329163442,-125.21136183711539,benign
2,2,0,0,0,4,0,-0.025743328403419908,153.9173312273062,benign
4,3,0,4,1,11,1,0.12243276448550613,547.622359068146,ransomware
4,2,0,0,0,6,0,-0.0022412578211449853,77.47485773447643,benign
4,2,1,0,0,7,0,0.24908290310972603,32.43133586306665,benign
2,4,0,0,0,6,0,-0.04209085725831719,819.4925519543648,benign
5,5,0,0,0,10,0,-0.32725825706232303,72.81407668376264,benign
3,2,0,0,0,5,0,-0.6177985281700619,359.67347321044434,benign
1,5,0,0,0,6,0,0.39102286660127783,147.95482269022656,benign
1,2,0,0,0,3,0,0.28819322422903065,-260.3393309211618,benign
5,7,0,4,0,16,1,0.0201555029730717,66.78020327661437,ransomware
3,3,1,0,0,7,0,0.28359813338247875,76.85007895988319,benign
5,5,0,0,0,10,0,0.0880405972322043,462.6706896344198,benign
0,2,0,0,0,2,0,-0.07477096629065659,-390.0692832763607,benign
3,8,0,0,0,11,0,0.2844057636290617,565.1169290163796,ransomware
2,7,0,1,0,10,0,0.07059097569505779,525.7235494176923,benign
4,3,1,1,1,9,0,0.14462876129276273,22.549808853167576,ransomware
1,6,1,1,0,9,0,0.060383228317911763,458.3949954981204,benign
2,3,0,0,0,5,0,-0.15256026068909112,-34.200540866610126,benign
1,3,0,1,0,5,0,0.34436152181408064,324.91744897325464,benign
3,4,0,2,0,9,0,-0.08781301472272152,-29.142094803184264,benign
5,2,0,1,0,8,0,0.1365682997446258,444.26200794732836,benign
3,4,0,1,1,8,0,0.08728726004583576,351.9307489313615,benign
2,1,0,0,0,3,0,-0.07034525889551094,-241.97609748917336,benign
6,1,0,0,0,7,0,0.04447512059477845,-275.4148878473508,benign
1,6,0,1,0,8,0,0.3146125661221085,526.2074614013129,benign
4,12,0,0,1,16,0,0.3426114700147046,328.84634411708487,ransomware
1,2,0,0,0,3,0,-0.05024660267892345,-29.79258539273407,benign
3,2,0,2,0,7,0,-0.0480826009430113,27.507653101359907,benign
3,5,1,1,1,10,0,-0.07736348320053987,443.93937464748353,ransomware
5,2,1,1,0,9,0,-0.36318147578622484,-280.3570709292483,benign
4,4,0,1,0,9,0,0.17440688384439046,126.60517829416553,benign
5,5,0,0,0,10,0,-0.32537635091320066,-229.51851741290034,benign
3,1,0,1,0,5,0,0.43273448534383485,-22.751788027303192,benign
3,12,1,0,1,16,0,0.3012172927496265,384.3330017113686,ransomware
0,10,1,2,1,13,0,-0.04538494009411015,206.77895180417624,ransomware
9,2,0,0,0,11,0,0.3340194547318629,188.71464637577492,benign
2,15,1,0,1,18,0,-0.08540634568697664,532.8090622921352,ransomware
3,2,1,2,1,8,0,0.05542287486896143,274.5009081315445,ransomware
2,5,1,1,0,9,0,-0.34403472769034193,9.693865801199905,benign
1,2,0,1,0,4,0,0.22013733459057425,-108.45906445138112,ransomware
4,0,0,0,0,4,0,0.006566348217105858,614.0410301761141,benign
1,8,0,3,1,12,1,-0.18446582926555855,121.21570496556308,ransomware
2,6,0,2,0,10,0,0.08182600243992448,-46.36763352717972,ransomware
4,2,2,0,0,8,0,0.05047243313081816,247.12089053468588,benign
3,3,1,0,0,7,0,0.005625451119310031,485.16292546735326,benign
4,1,0,0,0,5,0,-0.16742547900748056,-97.94942380545281,benign
