pe_avg_entropy,pe_max_entropy,pe_high_entropy_section_ratio,pe_has_high_entropy_section,sample_id,category,family,file_read_count,file_write_count,file_delete_count,file_rename_count,file_encrypt_like_count,process_create_count,process_inject_count,process_suspend_count,process_resume_count,network_dns_count,network_http_count,network_connection_count,registry_create_count,registry_set_count,registry_delete_count,registry_persistence_flag,mutex_count,dropped_file_count,suspicious_extension_flag,crypto_keyword_flag
5.075,6.21,0.0,0.0,benign_011.json,benign,Benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.21,6.33,0.0,0.0,benign_012.json,benign,Benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9875,6.11,0.0,0.0,benign_013.json,benign,Benign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.298,8.15,0.4,1.0,cryptxxx_010.json,ransomware,CryptXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.228,8.04,0.4,1.0,dharma_004.json,ransomware,Dharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.288,8.18,0.4,1.0,gandcrab_007.json,ransomware,GandCrab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.348000000000001,8.05,0.4,1.0,globeimposter_005.json,ransomware,GlobeImposter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,8.12,0.4,1.0,lockbit_001.json,ransomware,LockBit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.354,8.14,0.4,1.0,maze_008.json,ransomware,Maze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.308,8.1,0.4,1.0,medusalocker_006.json,ransomware,MedusaLocker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3825,8.45,0.5,1.0,packed_themida_015.json,packed,Themida_Packed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,8.31,0.6666666666666666,1.0,packed_upx_014.json,packed,UPX_Packed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.294,8.03,0.4,1.0,phobos_003.json,ransomware,Phobos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3660000000000005,8.21,0.4,1.0,stopdjvu_002.json,ransomware,STOP_DJVU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.266,8.22,0.4,1.0,wannacry_009.json,ransomware,WannaCry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,cmd_lsass_memory_dumpert_syscalls_2020-10-1822561997.json,0,0,0.0,24.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,27.0,3.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,cmd_psexec_lsa_secrets_dump_2020-10-1903305471.json,0,0,2.0,148.0,0.0,2.0,0.0,280.0,0.0,0.0,0.0,3.0,0.0,16.0,47.0,43.0,15.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,cmd_sam_copy_esentutl_2020-10-1900290001.json,0,0,0.0,61.0,0.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,2.0,287.0,248.0,83.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,cmd_sharpview_pcre_net_2020-10-2920232423.json,0,0,0.0,93.0,2.0,0.0,0.0,266.0,0.0,0.0,0.0,4.0,0.0,15.0,58.0,38.0,12.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,covenant_sharpsc_query_dcerpc_smb_svcctl_2020-08-06012009.json,0,0,104.0,8.0,0.0,3.0,0.0,56.0,0.0,0.0,0.0,7.0,10.0,117.0,34.0,63.0,34.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,covenant_sharpsc_start_dcerpc_smb_svcctl_2020-08-06030120.json,0,0,421.0,32.0,3.0,5.0,0.0,2376.0,0.0,0.0,0.0,97.0,8.0,256.0,2271.0,3909.0,2281.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,empire_launcher_vbs_2020-09-04160940.json,0,0,429.0,62.0,37.0,0.0,0.0,480.0,0.0,0.0,0.0,12.0,1.0,113.0,420.0,912.0,420.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,empire_mimikatz_logonpasswords_2020-08-07103224.json,0,0,140.0,15.0,0.0,3.0,0.0,286.0,0.0,0.0,0.0,65.0,0.0,601.0,154.0,369.0,154.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,empire_mimikatz_sam_access_2020-09-22041117.json,0,0,421.0,13.0,30.0,14.0,0.0,125.0,0.0,0.0,0.0,1.0,4.0,61.0,0.0,186.0,63.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,empire_ninjacopy_dumping_ntds_dit_file.json,0,0,54.0,2844.0,464.0,6.0,0.0,11311.0,0.0,5.0,0.0,1305.0,676.0,1477.0,1963.0,1069.0,1257.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,empire_over_pth_patch_lsass_2020-09-21221336.json,0,0,299.0,24.0,9.0,4.0,0.0,179.0,0.0,0.0,0.0,98.0,7.0,183.0,3.0,1521.0,215.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,msf_record_mic_2020-06-09225055.json,0,0,1032.0,212.0,236.0,1.0,0.0,1857.0,0.0,0.0,0.0,41.0,10.0,417.0,1741.0,2796.0,1808.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,psh_powershell_httplistener_2020-11-0204130683.json,0,0,0.0,8.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,2.0,1.0,10.0,28.0,25.0,13.0,1.0,0.0,0.0,0.0,0.0
